"","Month","Year","Start.Date","Report.Type","Security.Type","Number.of.CUSIPs","PCT.of.CUSIPs","Trade.Count","PCT.of.Trade.Count","Par.Traded","PCT.of.Par.Traded","Avg.Trade.Size"
"20","August","2000",2000-08-01,"Customer Only Buy and Sell","CP",844,0.00863418277050874,1312,0.00289324541866055,10962251000,0.0576119889095321,8355374.23780488
"16","August","2000",2000-08-01,"Customer Only Buy and Sell","Long Note",1160,0.0118668862722632,3871,0.00853639711557545,7681591940,0.0403705214973486,1984394.71454405
"18","August","2000",2000-08-01,"Customer Only Buy and Sell","Long Variable",154,0.00157543145338667,1099,0.00242353408163715,1103292546,0.00579834177525413,1003905.86533212
"21","August","2000",2000-08-01,"Customer Only Buy and Sell","Other",502,0.00513549733506563,1544,0.00340485588903345,3786435876,0.0198995718757732,2452354.84196891
"17","August","2000",2000-08-01,"Customer Only Buy and Sell","Short Note",177,0.0018107231639574,379,0.000835777449445388,571251037,0.00300220350803888,1507258.67282322
"19","August","2000",2000-08-01,"Customer Only Buy and Sell","Short Variable",4522,0.0462603963130812,32326,0.0712858623503209,104085470900,0.547020041334049,3219868.55472375
"22","August","2000",2000-08-01,"Customer Bought Only","Bond",82417,0.924133523205095,294492,0.925002120181299,35390458331,0.317575887459614,120174.6000944
"27","August","2000",2000-08-01,"Customer Bought Only","CP",816,0.00914972584461164,1043,0.00327607273321209,8903513000,0.0798955756955102,8536445.82933845
"23","August","2000",2000-08-01,"Customer Bought Only","Long Note",1104,0.0123790408485922,3314,0.0104093049260449,6058312380,0.0543641993158584,1828096.67471334
"25","August","2000",2000-08-01,"Customer Bought Only","Long Variable",141,0.00158101880403216,919,0.00288658757605169,979374273,0.00878840423580072,1065695.61806311
"28","August","2000",2000-08-01,"Customer Bought Only","Other",438,0.00491124990188713,991,0.00311274024795128,2390748807,0.0214533580485163,2412460.9556004
"24","August","2000",2000-08-01,"Customer Bought Only","Short Note",171,0.00191740578361347,298,0.00093602078091774,420175549,0.00377044065421503,1409985.06375839
"26","August","2000",2000-08-01,"Customer Bought Only","Short Variable",4096,0.0459280356121682,17312,0.0543771535545232,57296792400,0.514152134590485,3309657.60166359
"29","August","2000",2000-08-01,"Customer Sold Only","Bond",70442,0.938888666746638,118447,0.876729261811534,26696501551,0.338625316648759,225387.739250466
